sample_id	data_type
SRR33789619	run
SRR33789620	run
SRR33789621	run
SRR33789622	run
SRR33789623	run
SRR33789624	run
SRR33789625	run
SRR33789626	run
SRR33789627	run
SRR33789628	run
SRR33789629	run
SRR33789630	run
SRR33789631	run
SRR33789632	run
SRR33789633	run
SRR33789634	run
SRR33789635	run
SRR33789636	run
SRR33789637	run
SRR33789638	run
SRR33789639	run
SRR33789640	run
SRR33789641	run
SRR33789642	run
SRR33789643	run
SRR33789644	run
SRR33789645	run
SRR33789646	run
SRR33789647	run
SRR33789648	run
SRR33789649	run
SRR33789650	run
SRR33789651	run
SRR33789652	run
SRR33789653	run
SRR33789654	run
SRR33789655	run
SRR33789656	run
SRR33789657	run
SRR33790299	run
SRR33790300	run
SRR33790301	run
SRR33790302	run
SRR33790303	run
SRR33790304	run
SRR33790305	run
